[0.000000, 0.000000]
[-23.588619, -46.604825]
[-23.560205, -46.625714]
[-23.595701, -46.675477]
[-23.525914, -46.651897]
[-23.540324, -46.585586]
[-23.596364, -46.585789]
[-23.511303, -46.595859]
[-23.543477, -46.674853]
[-23.508271, -46.601929]
[-23.511896, -46.636739]
[-23.572636, -46.586880]
[-23.526986, -46.608996]
[-23.588988, -46.675024]
[-23.511824, -46.673693]
[-23.535596, -46.667925]
[-23.541852, -46.620359]
[-23.513394, -46.670768]
[-23.594800, -46.626218]
[-23.592257, -46.631962]
[-23.594282, -46.682424]
[-23.523311, -46.657042]
[-23.589235, -46.675320]
[-23.537228, -46.595369]
[-23.581831, -46.635030]
[-23.587058, -46.663104]
[-23.563876, -46.639457]
[-23.576106, -46.667085]
[-23.517209, -46.615892]
[-23.516653, -46.621243]
[-23.509116, -46.630737]
[-23.532176, -46.672690]
[-23.563086, -46.583408]
[-23.515898, -46.613273]
[-23.523706, -46.598640]
[-23.566017, -46.616592]
[-23.553382, -46.665791]
[-23.546152, -46.673982]
[-23.561703, -46.639560]
[-23.574404, -46.674382]
[-23.575184, -46.667136]
[-23.514505, -46.614706]
[-23.590928, -46.617718]
[-23.510417, -46.609803]
[-23.565373, -46.598194]
[-23.528023, -46.589967]
[-23.502223, -46.628579]
[-23.511124, -46.617844]
[-23.534804, -46.679277]
[-23.505127, -46.585706]
[-23.558889, -46.676864]
[-23.577791, -46.670808]
[-23.575096, -46.638265]
[-23.543447, -46.624328]
[-23.598597, -46.633720]
[-23.574754, -46.647948]
[-23.513210, -46.614102]
[-23.589999, -46.667971]
[-23.513973, -46.653509]
[-23.553913, -46.660283]
[-23.538087, -46.604820]
[-23.565410, -46.665015]
[-23.552599, -46.648201]
[-23.534680, -46.616110]
[-23.581620, -46.651099]
[-23.541170, -46.622410]
[-23.559296, -46.601245]
[-23.598630, -46.659152]
[-23.532417, -46.629714]
[-23.536974, -46.637637]
[-23.524458, -46.618769]
[-23.570186, -46.586890]
[-23.583288, -46.638557]
[-23.525725, -46.591609]
[-23.560279, -46.653281]
[-23.502087, -46.642007]
[-23.560358, -46.627315]
[-23.536544, -46.674244]
[-23.592925, -46.644153]
[-23.534823, -46.608268]
[-23.559821, -46.628789]
[-23.515977, -46.657582]
[-23.576574, -46.665892]
[-23.503619, -46.621277]
[-23.549522, -46.646374]
[-23.547056, -46.651436]
[-23.563368, -46.661360]
[-23.598187, -46.601185]
[-23.528046, -46.678125]
[-23.502169, -46.643399]
[-23.570723, -46.602493]
[-23.594874, -46.675642]
[-23.574621, -46.664311]
[-23.504205, -46.658557]
